taxon_id	parent_taxon_id	taxon_rank_id	epithet	author	year	code	vernacular_names	use_parentheses
2001217	2003908	11	Roeslerstammiidae	Bruand	1851	urn:lsid:dyntaxa.se:Taxon:2001217	bronsmalar:swe	
2001218	2003908	11	Bucculatricidae	Fracker	1915	urn:lsid:dyntaxa.se:Taxon:2001218	kronmalar:swe	
2001219	2003908	11	Douglasiidae	Heinemann & Wocke	1876	urn:lsid:dyntaxa.se:Taxon:2001219	skäckmalar:swe	
1016334	2003909	11	Praydidae	Moriuti	1977	urn:lsid:dyntaxa.se:Taxon:1016334	vesslemalar:swe	
1016335	2003909	11	Argyresthiidae	Bruand	1850	urn:lsid:dyntaxa.se:Taxon:1016335	knoppmalar:swe	
2001220	2003909	11	Yponomeutidae	Stephens	1829	urn:lsid:dyntaxa.se:Taxon:2001220	spinnmalar:swe	
2001222	2003909	11	Lyonetiidae	Stainton	1854	urn:lsid:dyntaxa.se:Taxon:2001222	rullvingemalar:swe	
2001223	2003909	11	Glyphipterigidae	Stainton	1854	urn:lsid:dyntaxa.se:Taxon:2001223	gnuggmalar:swe	
2001224	2003909	11	Heliodinidae	Heinemann & Wocke	1876	urn:lsid:dyntaxa.se:Taxon:2001224	signalmalar:swe	
2002908	2003909	11	Ypsolophidae	Guénée	1845	urn:lsid:dyntaxa.se:Taxon:2002908	höstmalar:swe	
2002909	2003909	11	Plutellidae	Guénée	1845	urn:lsid:dyntaxa.se:Taxon:2002909	senapsmalar:swe	
2002911	2003909	11	Bedelliidae	Stainton	1849	urn:lsid:dyntaxa.se:Taxon:2002911	vindemalar:swe	
2001221	3000188	11	Ochsenheimeriidae			urn:lsid:dyntaxa.se:Taxon:2001221	hornmalar:swe	
2001225	3000188	11	Oecophoridae	Bruand	1850	urn:lsid:dyntaxa.se:Taxon:2001225	praktmalar:swe	
2001226	3000188	11	Elachistidae	Bruand	1850	urn:lsid:dyntaxa.se:Taxon:2001226	gräsminerarmalar:swe	
2001227	3000188	11	Agonoxenidae	Meyrick	1926	urn:lsid:dyntaxa.se:Taxon:2001227	brokmalar:swe	
2001228	3000188	11	Batrachedridae	Heinemann & Wocke	1876	urn:lsid:dyntaxa.se:Taxon:2001228	smalvingemalar:swe	
2001229	3000188	11	Momphidae	Herrich-Schäffer	1857	urn:lsid:dyntaxa.se:Taxon:2001229	dunörtmalar:swe	
2001230	3000188	11	Cosmopterigidae	Heinemann & Wocke	1876	urn:lsid:dyntaxa.se:Taxon:2001230	fransmalar:swe	
2001231	3000188	11	Scythrididae	Rebel	1901	urn:lsid:dyntaxa.se:Taxon:2001231	korthuvudmalar:swe	
2001232	3000188	11	Blastobasidae	Meyrick	1894	urn:lsid:dyntaxa.se:Taxon:2001232	förnamalar:swe	
2001234	3000188	11	Coleophoridae	Bruand	1850	urn:lsid:dyntaxa.se:Taxon:2001234	säckmalar:swe	
2001235	3000188	11	Gelechiidae	Stainton	1854	urn:lsid:dyntaxa.se:Taxon:2001235	stävmalar:swe	
2001236	3000188	11	Tortricidae	Latreille	1802	urn:lsid:dyntaxa.se:Taxon:2001236	vecklare:swe	
2001237	3000188	11	Cossidae	Leach	1815	urn:lsid:dyntaxa.se:Taxon:2001237	träfjärilar:swe	
2001238	3000188	11	Limacodidae	Duponchel	1845	urn:lsid:dyntaxa.se:Taxon:2001238	snigelspinnare:swe	
2001239	3000188	11	Megalopygidae	Herrich-Schäffer	1855	urn:lsid:dyntaxa.se:Taxon:2001239		
2001240	3000188	11	Choreutidae	Stainton	1858	urn:lsid:dyntaxa.se:Taxon:2001240	gnidmalar:swe	
2001241	3000188	11	Sesiidae	Boisduval	1828	urn:lsid:dyntaxa.se:Taxon:2001241	glasvingar:swe	
2001242	3000188	11	Schreckensteiniidae	Fletcher	1929	urn:lsid:dyntaxa.se:Taxon:2001242	konkavmalar:swe	
2001243	3000188	11	Epermeniidae	Spuler	1910	urn:lsid:dyntaxa.se:Taxon:2001243	skärmmalar:swe	
2001244	3000188	11	Wockidae	Kyrki	1988	urn:lsid:dyntaxa.se:Taxon:2001244	raspmalar:swe	
2001245	3000188	11	Alucitidae	Leach	1815	urn:lsid:dyntaxa.se:Taxon:2001245	mångflikmott:swe	
2001246	3000188	11	Pterophoridae	Latreille	1802	urn:lsid:dyntaxa.se:Taxon:2001246	fjädermott:swe	
2001247	3000188	11	Pyralidae	Latreille	1809	urn:lsid:dyntaxa.se:Taxon:2001247	mott:swe	
2001248	3000188	11	Drepanidae	Boisduval	1828	urn:lsid:dyntaxa.se:Taxon:2001248	sikelvingar:swe	
2001249	3000188	11	Geometridae	Leach	1815	urn:lsid:dyntaxa.se:Taxon:2001249	mätare:swe	
2001255	3000188	11	Zygaenidae	Latreille	1809	urn:lsid:dyntaxa.se:Taxon:2001255	bastardsvärmare:swe	
2001256	3000188	11	Lasiocampidae	Harris	1841	urn:lsid:dyntaxa.se:Taxon:2001256	ädelspinnare:swe	
2001257	3000188	11	Endromidae	Boisduval	1828	urn:lsid:dyntaxa.se:Taxon:2001257	skäckspinnare:swe	
2001258	3000188	11	Brahmaeidae	Swinhoe	1892	urn:lsid:dyntaxa.se:Taxon:2001258	mjölkörtsspinnare:swe	
2001259	3000188	11	Saturniidae	Boisduval	1837	urn:lsid:dyntaxa.se:Taxon:2001259	påfågelspinnare:swe	
2001260	3000188	11	Sphingidae	Latreille	1802	urn:lsid:dyntaxa.se:Taxon:2001260	svärmare:swe	
2001261	3000188	11	Notodontidae	Stephens	1829	urn:lsid:dyntaxa.se:Taxon:2001261	tandspinnare:swe	
