"ids","pids"
6003684,2001237
214817,1003893
1003893,2001237
214818,1003894
1003894,2001237
2001237,3000188
214798,1003885
1003885,6003999
6003999,6003678
214798,1003885
1003885,6003678
6003678,2001241
214798,1003885
1003885,2001241
214802,1003887
1003887,6003680
6003680,6003679
214801,6005261
6005261,6003681
214801,1003886
101773,1003886
214799,1003886
1003886,6003681
6003681,6003679
101870,1003888
101871,1003888
214803,1003888
214804,1003888
214805,1003888
214806,1003888
214807,1003888
214809,1003888
214811,1003888
214812,1003888
266189,1003888
1003888,6003682
100464,1003889
1003889,6003682
214814,1003890
1003890,6003682
6003682,6003679
6003679,2001241
214802,1003887
1003887,2001241
214801,1003886
101773,1003886
214799,1003886
1003886,2001241
101870,1003888
101871,1003888
214803,1003888
214804,1003888
214805,1003888
214806,1003888
214807,1003888
214809,1003888
214811,1003888
214812,1003888
266189,1003888
1003888,2001241
100464,1003889
1003889,2001241
214814,1003890
1003890,2001241
2001241,3000188
215534,1004121
1004121,6004034
100863,1004122
215536,1004122
1004122,6004034
215537,1004123
215538,1004123
1004123,6004034
101724,1004124
1004124,6004034
215540,1004125
1004125,6004034
6004034,2001248
215534,1004121
1004121,2001248
100863,1004122
215536,1004122
1004122,2001248
215537,1004123
215538,1004123
1004123,2001248
101724,1004124
1004124,2001248
215540,1004125
1004125,2001248
215525,1004113
1004113,6004035
215526,1004114
1004114,6004035
215527,1004115
215528,1004115
1004115,6004035
215529,1004116
1004116,6004035
215530,1004117
1004117,6004035
215531,1004118
1004118,6004035
215532,1004119
1004119,6004035
215533,1004120
1004120,6004035
6004035,2001248
215525,1004113
1004113,2001248
215526,1004114
1004114,2001248
215527,1004115
215528,1004115
1004115,2001248
215529,1004116
1004116,2001248
215530,1004117
1004117,2001248
215531,1004118
1004118,2001248
215532,1004119
1004119,2001248
215533,1004120
1004120,2001248
2001248,6004033
6004033,3000188
215534,1004121
1004121,6004034
100863,1004122
215536,1004122
1004122,6004034
215537,1004123
215538,1004123
1004123,6004034
101724,1004124
1004124,6004034
215540,1004125
1004125,6004034
6004034,2001248
215534,1004121
1004121,2001248
100863,1004122
215536,1004122
1004122,2001248
215537,1004123
215538,1004123
1004123,2001248
101724,1004124
1004124,2001248
215540,1004125
1004125,2001248
215525,1004113
1004113,6004035
215526,1004114
1004114,6004035
215527,1004115
215528,1004115
1004115,6004035
215529,1004116
1004116,6004035
215530,1004117
1004117,6004035
215531,1004118
1004118,6004035
215532,1004119
1004119,6004035
215533,1004120
1004120,6004035
6004035,2001248
215525,1004113
1004113,2001248
215526,1004114
1004114,2001248
215527,1004115
215528,1004115
1004115,2001248
215529,1004116
1004116,2001248
215530,1004117
1004117,2001248
215531,1004118
1004118,2001248
215532,1004119
1004119,2001248
215533,1004120
1004120,2001248
2001248,3000188
2001244,6004824
215252,1003989
215253,1003989
1003989,2001243
100561,1003990
102391,1003990
215254,1003990
215255,1003990
215256,1003990
1003990,2001243
2001243,6004824
6004824,3000188
215252,1003989
215253,1003989
1003989,2001243
100561,1003990
102391,1003990
215254,1003990
215255,1003990
215256,1003990
1003990,2001243
2001243,3000188
213783,1003657
1003657,2001204
101067,1003658
213785,1003658
213786,1003658
213787,1003658
213788,1003658
213789,1003658
213790,1003658
232924,1003658
1003658,2001204
2001204,2003041
2003041,3000188
214577,1003820
6004678,1003820
1003820,6004825
6004825,2002915
214577,1003820
6004678,1003820
1003820,2002915
101078,1003821
1003821,2001233
2001233,2002915
101078,1003821
1003821,2002915
2002915,6004816
214391,1003791
1003791,2001225
214392,1003792
1003792,2001225
100806,1003794
6003440,1003794
214395,1003794
214397,1003794
214398,1003794
1003794,2001225
233647,1009414
1009414,2001225
102413,1003795
1003795,2001225
214400,1003796
1003796,2001225
214401,1003797
1003797,2001225
214402,1003798
1003798,2001225
214403,1003799
214404,1003799
214405,1003799
1003799,2001225
214406,1003800
214407,1003800
1003800,2001225
214408,1003801
266190,1003801
266191,1003801
1003801,2001225
100793,1003802
1003802,2001225
214410,1003803
1003803,2001225
214411,1003804
1003804,2001225
214413,1003806
1003806,2001225
102380,1003807
1003807,2001225
100277,1003811
