"AlertStatusId","Author","CategoryId","ChangeStatusId","CommonName","CreatedBy","CreatedDate","Guid","Id","IsGraded","IsInRevision","IsPublished","IsValid","ModifiedBy","ModifiedDate","ScientificName","SortOrder","ValidFromDate","ValidToDate"
0,"(Stainton, 1849)",17,0,"ekbrokmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:100877",100877,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Dystebenna stephensi",36767,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"Spuler, 1910",14,0,NA,1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:1003787",1003787,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Dystebenna",36766,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"Meyrick, 1926",11,0,"brokmalar",1,2004-01-20 00:00:00,"urn:lsid:dyntaxa.se:Taxon:2001227",2001227,FALSE,TRUE,TRUE,TRUE,876,2014-12-22 10:24:14,"Agonoxenidae",36753,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Braun, 1921)",17,0,"nordlig brokmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:102464",102464,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Mompha sextrigella",36770,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Stainton, 1851)",17,0,"vitbröstad brokmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:102465",102465,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Mompha propinquella",36771,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Denis & Schiffermüller, 1775)",17,0,"solvändebrokmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214558",214558,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Mompha miscella",36772,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Zeller, 1839)",17,0,"stor rallarrosbrokmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214559",214559,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Mompha idaei",36773,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Hübner, 1796)",17,0,"punktbrokmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214560",214560,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Mompha langiella",36774,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Hmph.&Westwood, 1845)",17,0,"häxörtbrokmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214561",214561,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Mompha terminella",36775,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Denis & Schiffermüller, 1775)",17,0,"rödgul brokmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214562",214562,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Mompha locupletella",36776,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Zeller, 1839)",17,0,"rödfläckig brokmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214563",214563,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Mompha raschkiella",36777,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Hübner, 1819)",17,0,"svart rallarrosbrokmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214565",214565,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Mompha conturbatella",36778,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Curtis, 1839)",17,0,"gul dunörtbrokmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214566",214566,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Mompha ochraceella",36779,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Stephens, 1834)",17,0,"gråbröstad brokmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214567",214567,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Mompha lacteella",36780,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"Herrich-Schäffer, 1854",17,0,"galldunörtbrokmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214569",214569,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Mompha divisella",36781,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Treitschke, 1833)",17,0,"gallrallarbrokmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214570",214570,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Mompha sturnipennella",36782,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Haworth, 1828)",17,0,"bergdunörtbrokmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214571",214571,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Mompha subbistrigella",36783,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"(Denis & Schiffermüller, 1775)",17,0,"vinterbrokmal",1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:214572",214572,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Mompha epilobiella",36784,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"Hübner, 1825",14,0,NA,1,2004-03-19 00:00:00,"urn:lsid:dyntaxa.se:Taxon:1003817",1003817,FALSE,TRUE,TRUE,TRUE,1,2004-03-19 00:00:00,"Mompha",36769,1763-02-08 00:00:00,2447-08-01 00:00:00
0,"Herrich-Schäffer, 1857",11,0,"dunörtmalar",1,2004-01-20 00:00:00,"urn:lsid:dyntaxa.se:Taxon:2001229",2001229,FALSE,TRUE,TRUE,TRUE,876,2014-12-22 10:24:14,"Momphidae",36768,1763-02-08 00:00:00,2447-08-01 00:00:00
